# ============================================================
# 白雪ゆうか Ver.1.1 追加イベント専用ファイル
# ============================================================
# 標準の台詞を直す場合は dialogue.txt を編集してください。
# このファイルは「新しいイベント・メニューを自分で追加する」用途です。
#
# 書式:
# EVENT|イベントID|SakuraScript
# MENU|メニューに表示する名前|イベントID
#
# 例:
EVENT|OnUserTest|\0\s[1]えへへ♪ 追加イベント、ちゃんと動いてますよ、{name}さん！\e
MENU|追加イベントのテスト|OnUserTest

# 自作例:
# EVENT|OnUserTea|\0\s[1]お茶にしませんか？ 今日は甘いものも欲しいです♪\e
# MENU|お茶にする|OnUserTea

# Web拍手・感想
EVENT|OnYuukaFeedback|\0\s[1]あの……もしよかったら、私と過ごした感想を聞かせてもらえませんか？\w5一言だけでも、とっても嬉しいです♪\w5\j[https://knn6hc6k9h-commits.github.io/shirayuki-yuuka/feedback.html]\e

# メインメニュー上書き（2列表示）
# user_events.txt の同名EVENTは dialogue.txt より優先されます。
EVENT|MainMenu|\0\s[1]はいっ、どうしましたか？\n\n\_l[0,]\q[お話しする,OnYuukaTalk]\_l[11em,]\q[ゆうかに話しかける,OnYuukaSpeak]\_l[0,@1.5lh]\q[今の気持ちを聞く,OnYuukaAffection]\_l[11em,]\q[呼び方を決める,OnYuukaCallNameSettings]\_l[0,@1.5lh]\q[少し休憩する,OnYuukaRest]\_l[11em,]\q[設定,OnYuukaSettings]\_l[0,@1.5lh]\q[感想を送る（Web拍手）,OnYuukaFeedback]\_l[11em,]\q[閉じる,script:\e]\*\e
EVENT|MainMenuGrumpy|\0\s[0]……どうしましたか？\n\n\_l[0,]\q[お話しする,OnYuukaTalk]\_l[11em,]\q[ゆうかに話しかける,OnYuukaSpeak]\_l[0,@1.5lh]\q[今の気持ちを聞く,OnYuukaAffection]\_l[11em,]\q[呼び方を決める,OnYuukaCallNameSettings]\_l[0,@1.5lh]\q[少し休憩する,OnYuukaRest]\_l[11em,]\q[設定,OnYuukaSettings]\_l[0,@1.5lh]\q[感想を送る（Web拍手）,OnYuukaFeedback]\_l[11em,]\q[閉じる,script:\e]\*\e
EVENT|MainMenuAngry|\0\s[4]……何ですか？\n\n\_l[0,]\q[お話しする,OnYuukaTalk]\_l[11em,]\q[ゆうかに話しかける,OnYuukaSpeak]\_l[0,@1.5lh]\q[今の気持ちを聞く,OnYuukaAffection]\_l[11em,]\q[呼び方を決める,OnYuukaCallNameSettings]\_l[0,@1.5lh]\q[少し休憩する,OnYuukaRest]\_l[11em,]\q[設定,OnYuukaSettings]\_l[0,@1.5lh]\q[感想を送る（Web拍手）,OnYuukaFeedback]\_l[11em,]\q[閉じる,script:\e]\*\e

# ============================================================
# 長く一緒に過ごすための追加機能
# ============================================================

# 2. 最後に会ってからの時間
EVENT|OnYuukaFeatureReturnShort|\0\s[1]おかえりなさい、{name}さん♪\w5少しぶりですね。\w5また来てくれて嬉しいです。\e
EVENT|OnYuukaFeatureReturnShort|\0\s[1]あっ、{name}さん。\w5おかえりなさい♪\w5また会えましたね。\e
EVENT|OnYuukaFeatureReturnHours|\0\s[1]おかえりなさい、{name}さん♪\w5数時間ぶりですね。\w5今日はどんなふうに過ごしてたんですか？\e
EVENT|OnYuukaFeatureReturnHours|\0\s[0]あっ……{name}さん。\w5ちょっと久しぶりな感じがします。\w5戻ってきてくれて安心しました♪\e
EVENT|OnYuukaFeatureReturnDays|\0\s[3]わっ、{name}さん……！\w5何日かぶりですね。\w5えへへ……また会えてよかったです♪\e
EVENT|OnYuukaFeatureReturnDays|\0\s[1]おかえりなさい♪\w5何日か会えなかったから、ちょっと寂しかったんですよ？\e
